Rk,Player,link,Age,Pos,Date,RG/PL,Tm,,Opp,,GS,MP,FG,FGA,FG%_pt,FG%,2P,2PA,2P%_pt,2P%,3P,3PA,3P%_pt,3P%,FT,FTA,FT%_pt,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Off Production,Def Production,,GmSc_pt,GmSc,oTDR,dTDR,TDR
857,Terrell Brandon,brandte01,30-279,G,02/23/2001,RS,MIN,,GSW,W,1,33,11,14,0.786,0.79,8.00,11.00,0.73,0.73,3.00,3.00,1.00,"1,000.00",2,2,1.000,1.000,0,10,10,16,2,1,2,1,27,30.80,5.30,36.10,36.10,36.10,93.33,16.06,109.39
524,Brad Daugherty,daughbr01,26-157,C,03/24/1992,RS,CLE,,IND,W,1,35,14,17,0.824,0.82,14.00,17.00,0.82,0.82,0.00,0.00,0.00,,4,4,1.000,1.000,3,8,11,11,2,1,3,3,32,32.50,3.90,36.40,36.40,36.40,92.86,11.14,104.00
70,Magic Johnson,johnsma02,24-220,G-F,03/21/1984,RS,LAL,@,KCK,W,1,28,8,14,0.571,0.57,8.00,13.00,0.62,0.62,0.00,1.00,0.00,0.00,8,11,0.727,0.727,2,10,12,19,2,1,5,4,24,25.90,4.10,30.00,30.00,30.00,92.50,14.64,107.14
431,Magic Johnson,johnsma02,30-207,G-F,03/09/1990,RS,LAL,,GSW,W,1,39,14,19,0.737,0.74,13.00,15.00,0.87,0.87,1.00,4.00,0.25,0.25,4,5,0.800,0.800,4,9,13,16,3,0,3,1,33,35.90,5.30,41.20,41.20,41.20,92.05,13.59,105.64
1481,LeBron James,jamesle01,31-082,F-G,03/21/2016,RS,CLE,,DEN,W,1,33,12,19,0.632,0.63,11.00,17.00,0.65,0.65,1.00,2.00,0.50,0.50,8,11,0.727,0.727,3,8,11,11,0,0,3,2,33,30.10,1.60,31.70,31.70,31.70,91.21,4.85,96.06
7,Oscar Robertson,roberos01,22,G,11/10/1961,RS,CIN,,CHI,W,1,44,13,27,0.478,0.48,13.00,27.20,0.48,0.48,,,,,14,14,1.000,1.000,3,12,15,16,,,,3,40,39.75,2.28,42.03,42.03,,89.72,5.14,94.87
21,Oscar Robertson,roberos01,23,G,12/25/1961,RS,CIN,,LAL,L,1,44,13,27,0.478,0.48,13.00,27.20,0.48,0.48,,,,,14,16,0.875,0.875,3,9,12,17,,,,3,40,39.17,1.58,40.75,40.75,,88.42,3.57,91.99
575,Charles Barkley,barklch01,30-101,F,06/01/1993,PL,PHO,,SEA,W,1,47,16,22,0.727,0.73,16.00,22.00,0.73,0.73,0.00,0.00,0.00,,11,11,1.000,1.000,5,10,15,10,2,2,3,2,43,41.50,5.60,47.10,47.10,47.10,88.30,11.91,100.21
74,Larry Bird,birdla01,27-123,F,04/08/1984,RS,BOS,,CHI,W,1,35,12,17,0.706,0.71,12.00,17.00,0.71,0.71,0.00,0.00,0.00,,6,6,1.000,1.000,4,6,10,10,1,1,2,5,30,30.70,1.50,32.20,32.20,32.20,87.71,4.29,92.00
1009,Paul Pierce,piercpa01,27-112,F-G,02/02/2005,RS,BOS,,NJN,W,1,30,9,15,0.600,0.60,9.00,15.00,0.60,0.60,0.00,0.00,0.00,,10,12,0.833,0.833,0,10,10,10,4,1,1,0,28,26.30,7.70,34.00,34.00,34.00,87.67,25.67,113.33
1592,Russell Westbrook,westbru01,28-124,G,03/16/2017,RS,OKC,@,TOR,W,1,28,8,17,0.471,0.47,4.00,9.00,0.44,0.44,4.00,8.00,0.50,0.50,4,4,1.000,1.000,0,10,10,16,1,0,2,2,24,24.50,3.20,27.70,27.70,27.70,87.50,11.43,98.93
1503,Russell Westbrook,westbru01,27-353,G,10/30/2016,RS,OKC,,LAL,W,1,34,11,21,0.524,0.52,6.00,15.00,0.40,0.40,5.00,6.00,0.83,0.83,6,6,1.000,1.000,4,7,11,16,1,1,7,3,33,29.70,2.60,32.30,32.30,32.30,87.35,7.65,95.00
1595,James Harden,hardeja01,27-203,G,03/17/2017,RS,HOU,@,NOP,L,1,40,12,21,0.571,0.57,8.00,11.00,0.73,0.73,4.00,10.00,0.40,0.40,13,14,0.929,0.929,2,12,14,11,2,0,5,2,41,34.80,4.80,39.60,39.60,39.60,87.00,12.00,99.00
